alphaRaw16-1,alphaRaw16-2,alphaRaw16-3,alphaRaw16-4,alphaRaw24-1,alphaRaw24-2,alphaRaw24-3,alphaRaw24-4,alphaGrad-1,alphaGrad-2,alphaGrad-3,alphaGrad-4,grad-x,grad-y,grad-z,grad-xz,grad-yz,grad-rx,grad-ry,grad-rz,gradsum-xy,gradsum-xz,gradsum-yz,gradratio-xy,gradratio-xz,gradratio-yz,gradstddev-x,gradstddev-y,gradstddev-z,xpeaks,ypeaks,avg,stddev,moment-2,moment-3,moment-4,class
0,0,0,1,0,0.009061,0.143631,0.847308,0,0,1,0,0.040623,0.059479,0.014453,0.032505,0.040506,-0.001935,0.001824,0.000045,0.100102,0.055076,0.073932,0.682973,2.810646,4.115312,144.587289,184.076871,0.016499,1,5,0.750869,0.690975,1.041244,1.923873,4.277346,plax
0,0,1,0,0,0,1,0,0,0,0.58829,0.41171,0.04162,0.052088,0.013256,0.025391,0.029544,-0.002725,-0.002171,-0.00001,0.093708,0.054877,0.065344,0.799043,3.139625,3.929231,234.57113,280.988116,0.013851,1,4,0.834391,0.712142,1.203347,2.288522,5.133336,plax
0,0,0.538851,0.461149,0,0,0.375601,0.624399,0,0,1,0,0.042176,0.053782,0.016152,0.032392,0.036958,0.003285,0.004378,-0.000012,0.095957,0.058328,0.069933,0.784205,2.611195,3.329735,423.271518,527.10027,0.0199,10,5,0.703181,0.641372,0.905815,1.485011,2.832123,plax
0,0,1,0,0,0,1,0,0,0,1,0,0.041388,0.062198,0.016532,0.033332,0.044744,-0.000799,-0.00145,0.000027,0.103586,0.05792,0.078731,0.665414,2.503437,3.762227,117.203306,171.992432,0.018261,3,4,0.831309,0.736722,1.233825,2.506327,6.116434,plax
0,0,1,0,0,0,1,0,0,0,0.581241,0.418759,0.041901,0.051625,0.016261,0.026585,0.031351,-0.002231,-0.000339,-0.000052,0.093526,0.058163,0.067886,0.81165,2.576722,3.17467,84.001686,109.454557,0.015535,3,6,1.007652,0.565341,1.334968,2.086412,3.62038,plax
0.308703,0,0.204445,0.486852,0.342885,0,0.217454,0.439661,0,0,1,0,0.046455,0.062319,0.016718,0.033041,0.041945,-0.000949,0.008248,0.000003,0.108775,0.063173,0.079038,0.745438,2.778723,3.72764,79.83033,79.179476,0.01812,4,3,0.957805,0.733513,1.455424,2.882551,6.587338,plax
0.198465,0,0.18512,0.616414,0.185478,0,0.169984,0.644537,0.01198,0,0.557848,0.430172,0.043057,0.051373,0.019304,0.0408,0.043827,-0.001169,0.005921,0.000047,0.09443,0.062361,0.070677,0.838133,2.23047,2.661235,168.230358,73.156309,0.019412,3,4,0.965252,0.673559,1.385387,2.540622,5.447771,plax
0.889886,0,0.110114,0,0.824503,0,0.175497,0,0,0.129674,0.524418,0.345908,0.047968,0.056885,0.019756,0.036442,0.043335,0.001919,0.004035,-0.000022,0.104854,0.067724,0.076641,0.843244,2.428034,2.879395,189.505951,209.508332,0.019506,2,4,1.026248,0.728287,1.58358,3.131896,7.152955,plax
0.400713,0.443313,0,0.155973,0.276,0.525406,0,0.198594,0,0,0.548171,0.451829,0.034289,0.047937,0.01777,0.029345,0.038519,-0.001659,0.004428,-0.000005,0.082225,0.052058,0.065707,0.715289,1.929597,2.697646,244.393619,387.137618,0.020619,3,3,1.039007,0.737481,1.623406,3.314309,8.152482,plax
0,0,1,0,0,0,1,0,0,0,0.556504,0.443496,0.039341,0.049767,0.019184,0.033807,0.040851,0.003791,-0.000443,0.000026,0.089107,0.058525,0.068951,0.790506,2.050704,2.594167,55.871434,95.682449,0.01968,3,4,0.985814,0.757101,1.545022,3.25455,8.304488,plax
0.335567,0.215314,0,0.44912,0.308178,0.185397,0,0.506424,0,0.138655,0.544829,0.316516,0.047148,0.05384,0.014129,0.032043,0.036666,-0.001527,0.002383,-0.000008,0.100988,0.061277,0.067969,0.875707,3.336908,3.81053,102.370436,99.244128,0.015032,5,5,0.824828,0.667006,1.125232,1.974548,3.962187,plax
0,0.294074,0.705926,0,0,0.011824,0.988176,0,0.141479,0.019777,0.476741,0.362002,0.046618,0.052791,0.013646,0.032479,0.039188,-0.002759,-0.003561,0.000024,0.099409,0.060264,0.066438,0.883056,3.416153,3.868558,123.146461,108.016091,0.01454,6,4,0.832193,0.712611,1.200352,2.241362,4.777361,plax
0,0.035677,0.351462,0.612861,0,0.025451,0.402857,0.571693,0,0,0.584652,0.415348,0.042163,0.052136,0.016324,0.031956,0.035706,0.001246,0.002856,0.000009,0.094299,0.058487,0.068461,0.80871,2.582815,3.193746,102.760699,91.310501,0.016605,3,5,0.881162,0.767263,1.36513,2.836707,6.898112,plax
0,0,0.12438,0.87562,0,0,0,1,0,0,0.55211,0.44789,0.039618,0.048786,0.016531,0.035992,0.044066,0.000003,0.003584,0.000009,0.088404,0.056149,0.065317,0.812076,2.39655,2.95114,104.84001,175.868351,0.021147,2,5,0.755449,0.788326,1.192152,2.557809,6.498946,plax
0,0.719526,0,0.280474,0.27159,0.667215,0,0.061195,0,0.313367,0.430885,0.255748,0.05037,0.056085,0.016084,0.026743,0.032408,0.000234,0.003659,-0.000022,0.106456,0.066454,0.072169,0.898099,3.131707,3.48704,117.740724,157.094908,0.014926,4,4,1.142944,0.671963,1.757848,3.332977,7.308624,plax
0,0.152491,0.847509,0,0,0.014128,0.985872,0,0,0.121041,0.554943,0.324016,0.047998,0.058468,0.018138,0.038681,0.043842,0.000976,-0.000573,0.000001,0.106466,0.066136,0.076606,0.820927,2.646298,3.223549,139.610506,171.232324,0.018637,6,5,0.906833,0.636814,1.227871,2.07719,4.04309,plax
0.167217,0.430847,0.401935,0,0,0.567212,0.432788,0,0,0.050179,0.949821,0,0.045443,0.055618,0.018226,0.042905,0.049704,0.003394,-0.002806,-0.000006,0.101061,0.06367,0.073845,0.817055,2.493251,3.051509,67.060465,108.47798,0.021021,4,3,0.807073,0.887551,1.439103,3.538465,10.131157,plax
